date;TE0037;TE0038;TE0039;TE0040;TE0041;TE0042;TE0043;TE0044;TE0045;TE0046;TE0047;TE0048;TE1001;TE1002;TE1003;TE1004;TE0049;TE0050;TE0051;TE0052;TE0053;TE0054;TE0055;TE0056;TE0057;TE0058;TE0059;TE0060;PE0006;
1504334958;102.07000;103.72000;106.60000;118.30000;100.57000;103.09000;107.61000;118.48000;102.43000;104.16000;106.37000;119.33000;100.19000;102.78000;107.06000;118.24000;87.64800;87.54500;87.45900;87.46100;87.45600;87.45700;87.41200;87.37900;99.57500;110.23000;119.78000;129.21001;1000.79999;
1504334968;102.07000;103.72000;106.62000;118.27000;100.58000;103.08000;107.58000;118.45000;102.46000;104.17000;106.39000;119.32000;100.19000;102.78000;107.06000;118.24000;87.62100;87.54500;87.45900;87.46100;87.45600;87.45700;87.41200;87.37900;99.57500;110.23000;119.78000;129.21001;1000.79999;
1504334970;102.07000;103.72000;106.62000;118.27000;100.58000;103.08000;107.58000;118.45000;102.46000;104.17000;106.39000;119.32000;100.19000;102.78000;107.06000;118.24000;87.62100;87.53300;87.45800;87.46600;87.42000;87.48700;87.42800;87.34300;99.57400;110.23000;119.77000;129.21001;1000.79999;
1504334973;102.07000;103.72000;106.62000;118.27000;100.58000;103.08000;107.58000;118.45000;102.46000;104.17000;106.39000;119.32000;100.19000;102.78000;107.06000;118.24000;87.62100;87.53300;87.45800;87.46600;87.42000;87.48700;87.42800;87.34300;99.57400;110.23000;119.77000;129.21001;1000.79999;
1504334975;102.07000;103.72000;106.62000;118.27000;100.58000;103.08000;107.58000;118.45000;102.46000;104.17000;106.39000;119.32000;100.19000;102.78000;107.06000;118.23000;87.62100;87.53300;87.45800;87.46600;87.42000;87.48700;87.42800;87.34300;99.57400;110.23000;119.77000;129.21001;1001.20001;
1504334985;102.07000;103.72000;106.61000;118.26000;100.58000;103.07000;107.60000;118.45000;102.43000;104.17000;106.38000;119.31000;100.19000;102.78000;107.06000;118.23000;87.62100;87.53300;87.45800;87.46600;87.42000;87.48700;87.42800;87.34300;99.57400;110.23000;119.77000;129.21001;1001.20001;
1504334987;102.07000;103.72000;106.61000;118.26000;100.58000;103.07000;107.60000;118.45000;102.43000;104.17000;106.38000;119.31000;100.19000;102.78000;107.06000;118.23000;87.63900;87.54300;87.46900;87.45800;87.41900;87.48800;87.42800;87.39500;99.55300;110.24000;119.76000;129.20000;1001.20001;
1504334991;102.07000;103.72000;106.61000;118.26000;100.58000;103.07000;107.60000;118.45000;102.43000;104.17000;106.38000;119.31000;100.18000;102.71000;107.04000;118.22000;87.63900;87.54300;87.46900;87.45800;87.41900;87.48800;87.42800;87.39500;99.55300;110.24000;119.76000;129.20000;1001.50000;
1504335003;102.06000;103.73000;106.58000;118.25000;100.57000;103.08000;107.58000;118.45000;102.43000;104.17000;106.35000;119.27000;100.18000;102.71000;107.04000;118.22000;87.63900;87.54300;87.46900;87.45800;87.41900;87.48800;87.42800;87.39500;99.55300;110.24000;119.76000;129.20000;1001.50000;
1504335005;102.06000;103.73000;106.58000;118.25000;100.57000;103.08000;107.58000;118.45000;102.43000;104.17000;106.35000;119.27000;100.18000;102.71000;107.04000;118.22000;87.63100;87.54000;87.45800;87.44700;87.41000;87.45500;87.41700;87.37600;99.55700;110.23000;119.74000;129.17000;1001.50000;
1504335009;102.06000;103.73000;106.58000;118.25000;100.57000;103.08000;107.58000;118.45000;102.43000;104.17000;106.35000;119.27000;100.17000;102.73000;107.04000;118.20000;87.63100;87.54000;87.45800;87.44700;87.41000;87.45500;87.41700;87.37600;99.55700;110.23000;119.74000;129.17000;1000.70001;
